zip,Zipcode name,City,State,County Name
30356,"ATLANTA, GA",ATLANTA,GA,DEKALB
30359,"ATLANTA, GA",ATLANTA,GA,DEKALB
30360,"ATLANTA, GA",ATLANTA,GA,DEKALB
30362,"ATLANTA, GA",ATLANTA,GA,DEKALB
30366,"ATLANTA, GA",ATLANTA,GA,DEKALB
31107,"ATLANTA, GA",ATLANTA,GA,DEKALB
31119,"ATLANTA, GA",ATLANTA,GA,DEKALB
31141,"ATLANTA, GA",ATLANTA,GA,DEKALB
31145,"ATLANTA, GA",ATLANTA,GA,DEKALB
31146,"ATLANTA, GA",ATLANTA,GA,DEKALB
30301,"ATLANTA, GA",ATLANTA,GA,FULTON
30302,"ATLANTA, GA",ATLANTA,GA,FULTON
30303,"ATLANTA, GA",ATLANTA,GA,FULTON
30304,"ATLANTA, GA",ATLANTA,GA,FULTON
30305,"ATLANTA, GA",ATLANTA,GA,FULTON
30306,"ATLANTA, GA",ATLANTA,GA,FULTON
30307,"ATLANTA, GA",ATLANTA,GA,FULTON
30308,"ATLANTA, GA",ATLANTA,GA,FULTON
30309,"ATLANTA, GA",ATLANTA,GA,FULTON
30310,"ATLANTA, GA",ATLANTA,GA,FULTON
30311,"ATLANTA, GA",ATLANTA,GA,FULTON
30312,"ATLANTA, GA",ATLANTA,GA,FULTON
30313,"ATLANTA, GA",ATLANTA,GA,FULTON
30314,"ATLANTA, GA",ATLANTA,GA,FULTON
30315,"ATLANTA, GA",ATLANTA,GA,FULTON
30316,"ATLANTA, GA",ATLANTA,GA,FULTON
30318,"ATLANTA, GA",ATLANTA,GA,FULTON
30320,"ATLANTA, GA",ATLANTA,GA,FULTON
30321,"ATLANTA, GA",ATLANTA,GA,FULTON
30324,"ATLANTA, GA",ATLANTA,GA,FULTON
30325,"ATLANTA, GA",ATLANTA,GA,FULTON
30326,"ATLANTA, GA",ATLANTA,GA,FULTON
30327,"ATLANTA, GA",ATLANTA,GA,FULTON
30328,"ATLANTA, GA",ATLANTA,GA,FULTON
30331,"ATLANTA, GA",ATLANTA,GA,FULTON
30332,"ATLANTA, GA",ATLANTA,GA,FULTON
30334,"ATLANTA, GA",ATLANTA,GA,FULTON
30336,"ATLANTA, GA",ATLANTA,GA,FULTON
30337,"ATLANTA, GA",ATLANTA,GA,FULTON
30342,"ATLANTA, GA",ATLANTA,GA,FULTON
30343,"ATLANTA, GA",ATLANTA,GA,FULTON
30344,"ATLANTA, GA",ATLANTA,GA,FULTON
30348,"ATLANTA, GA",ATLANTA,GA,FULTON
30349,"ATLANTA, GA",ATLANTA,GA,FULTON
30350,"ATLANTA, GA",ATLANTA,GA,FULTON
30354,"ATLANTA, GA",ATLANTA,GA,FULTON
30355,"ATLANTA, GA",ATLANTA,GA,FULTON
30357,"ATLANTA, GA",ATLANTA,GA,FULTON
30358,"ATLANTA, GA",ATLANTA,GA,FULTON
30361,"ATLANTA, GA",ATLANTA,GA,FULTON
30363,"ATLANTA, GA",ATLANTA,GA,FULTON
30364,"ATLANTA, GA",ATLANTA,GA,FULTON
30368,"ATLANTA, GA",ATLANTA,GA,FULTON
30371,"ATLANTA, GA",ATLANTA,GA,FULTON
30375,"ATLANTA, GA",ATLANTA,GA,FULTON
30377,"ATLANTA, GA",ATLANTA,GA,FULTON
30380,"ATLANTA, GA",ATLANTA,GA,FULTON
30392,"ATLANTA, GA",ATLANTA,GA,FULTON
30396,"ATLANTA, GA",ATLANTA,GA,FULTON
31106,"ATLANTA, GA",ATLANTA,GA,FULTON
31126,"ATLANTA, GA",ATLANTA,GA,FULTON
31131,"ATLANTA, GA",ATLANTA,GA,FULTON
31139,"ATLANTA, GA",ATLANTA,GA,FULTON
31150,"ATLANTA, GA",ATLANTA,GA,FULTON
31156,"ATLANTA, GA",ATLANTA,GA,FULTON
39815,"ATTAPULGUS, GA",ATTAPULGUS,GA,DECATUR
30011,"AUBURN, GA",AUBURN,GA,BARROW
30907,"AUGUSTA, GA",AUGUSTA,GA,COLUMBIA
30917,"AUGUSTA, GA",AUGUSTA,GA,COLUMBIA
30901,"AUGUSTA, GA",AUGUSTA,GA,RICHMOND
30903,"AUGUSTA, GA",AUGUSTA,GA,RICHMOND
30904,"AUGUSTA, GA",AUGUSTA,GA,RICHMOND
30905,"AUGUSTA, GA",AUGUSTA,GA,RICHMOND
30906,"AUGUSTA, GA",AUGUSTA,GA,RICHMOND
30909,"AUGUSTA, GA",AUGUSTA,GA,RICHMOND
30912,"AUGUSTA, GA",AUGUSTA,GA,RICHMOND
30914,"AUGUSTA, GA",AUGUSTA,GA,RICHMOND
30916,"AUGUSTA, GA",AUGUSTA,GA,RICHMOND
30919,"AUGUSTA, GA",AUGUSTA,GA,RICHMOND
30106,"AUSTELL, GA",AUSTELL,GA,COBB
30168,"AUSTELL, GA",AUSTELL,GA,COBB
30803,"AVERA, GA",AVERA,GA,JEFFERSON
30002,"AVONDALE ESTATES, GA",AVONDALE ESTATES,GA,DEKALB
31624,"AXSON, GA",AXSON,GA,ATKINSON
31716,"BACONTON, GA",BACONTON,GA,MITCHELL
39817,"BAINBRIDGE, GA",BAINBRIDGE,GA,DECATUR
39818,"BAINBRIDGE, GA",BAINBRIDGE,GA,DECATUR
39819,"BAINBRIDGE, GA",BAINBRIDGE,GA,DECATUR
30511,"BALDWIN, GA",BALDWIN,GA,BANKS
30107,"BALL GROUND, GA",BALL GROUND,GA,CHEROKEE
30204,"BARNESVILLE, GA",BARNESVILLE,GA,LAMAR
31625,"BARNEY, GA",BARNEY,GA,BROOKS
30413,"BARTOW, GA",BARTOW,GA,JEFFERSON
31720,"BARWICK, GA",BARWICK,GA,BROOKS
31513,"BAXLEY, GA",BAXLEY,GA,APPLING
31515,"BAXLEY, GA",BAXLEY,GA,APPLING
30414,"BELLVILLE, GA",BELLVILLE,GA,EVANS
31722,"BERLIN, GA",BERLIN,GA,COLQUITT
30620,"BETHLEHEM, GA",BETHLEHEM,GA,BARROW
30621,"BISHOP, GA",BISHOP,GA,OCONEE
31516,"BLACKSHEAR, GA",BLACKSHEAR,GA,PIERCE
30512,"BLAIRSVILLE, GA",BLAIRSVILLE,GA,UNION
30514,"BLAIRSVILLE, GA",BLAIRSVILLE,GA,UNION
39823,"BLAKELY, GA",BLAKELY,GA,EARLY
31302,"BLOOMINGDALE, GA",BLOOMINGDALE,GA,CHATHAM
30513,"BLUE RIDGE, GA",BLUE RIDGE,GA,FANNIN
39824,"BLUFFTON, GA",BLUFFTON,GA,CLAY
30805,"BLYTHE, GA",BLYTHE,GA,RICHMOND
30622,"BOGART, GA",BOGART,GA,OCONEE
31004,"BOLINGBROKE, GA",BOLINGBROKE,GA,MONROE
31005,"BONAIRE, GA",BONAIRE,GA,HOUSTON
30806,"BONEVILLE, GA",BONEVILLE,GA,MCDUFFIE
31626,"BOSTON, GA",BOSTON,GA,THOMAS
30623,"BOSTWICK, GA",BOSTWICK,GA,MORGAN
30108,"BOWDON, GA",BOWDON,GA,CARROLL
30109,"BOWDON JUNCTION, GA",BOWDON JUNCTION,GA,CARROLL
30516,"BOWERSVILLE, GA",BOWERSVILLE,GA,HART
30624,"BOWMAN, GA",BOWMAN,GA,ELBERT
31801,"BOX SPRINGS, GA",BOX SPRINGS,GA,TALBOT
30517,"BRASELTON, GA",BRASELTON,GA,JACKSON
30110,"BREMEN, GA",BREMEN,GA,HARALSON
39825,"BRINSON, GA",BRINSON,GA,DECATUR
31518,"BRISTOL, GA",BRISTOL,GA,PIERCE
39826,"BRONWOOD, GA",BRONWOOD,GA,TERRELL
31727,"BROOKFIELD, GA",BROOKFIELD,GA,TIFT
30415,"BROOKLET, GA",BROOKLET,GA,BULLOCH
30205,"BROOKS, GA",BROOKS,GA,FAYETTE
31519,"BROXTON, GA",BROXTON,GA,COFFEE
31520,"BRUNSWICK, GA",BRUNSWICK,GA,GLYNN
31521,"BRUNSWICK, GA",BRUNSWICK,GA,GLYNN
31523,"BRUNSWICK, GA",BRUNSWICK,GA,GLYNN
31524,"BRUNSWICK, GA",BRUNSWICK,GA,GLYNN
31525,"BRUNSWICK, GA",BRUNSWICK,GA,GLYNN
30113,"BUCHANAN, GA",BUCHANAN,GA,HARALSON
30625,"BUCKHEAD, GA",BUCKHEAD,GA,MORGAN
31803,"BUENA VISTA, GA",BUENA VISTA,GA,MARION
30515,"BUFORD, GA",BUFORD,GA,GWINNETT
30518,"BUFORD, GA",BUFORD,GA,GWINNETT
30519,"BUFORD, GA",BUFORD,GA,GWINNETT
31006,"BUTLER, GA",BUTLER,GA,TAYLOR
31007,"BYROMVILLE, GA",BYROMVILLE,GA,DOOLY
31008,"BYRON, GA",BYRON,GA,PEACH
31009,"CADWELL, GA",CADWELL,GA,LAURENS
39827,"CAIRO, GA",CAIRO,GA,GRADY
39828,"CAIRO, GA",CAIRO,GA,GRADY
30701,"CALHOUN, GA",CALHOUN,GA,GORDON
30703,"CALHOUN, GA",CALHOUN,GA,GORDON
39829,"CALVARY, GA",CALVARY,GA,GRADY
30807,"CAMAK, GA",CAMAK,GA,WARREN
31730,"CAMILLA, GA",CAMILLA,GA,MITCHELL
30520,"CANON, GA",CANON,GA,FRANKLIN
30114,"CANTON, GA",CANTON,GA,CHEROKEE
30115,"CANTON, GA",CANTON,GA,CHEROKEE
30169,"CANTON, GA",CANTON,GA,CHEROKEE
30627,"CARLTON, GA",CARLTON,GA,MADISON
30521,"CARNESVILLE, GA",CARNESVILLE,GA,FRANKLIN
30112,"CARROLLTON, GA",CARROLLTON,GA,CARROLL
30116,"CARROLLTON, GA",CARROLLTON,GA,CARROLL
30117,"CARROLLTON, GA",CARROLLTON,GA,CARROLL
30118,"CARROLLTON, GA",CARROLLTON,GA,CARROLL
30119,"CARROLLTON, GA",CARROLLTON,GA,CARROLL
30120,"CARTERSVILLE, GA",CARTERSVILLE,GA,BARTOW
30121,"CARTERSVILLE, GA",CARTERSVILLE,GA,BARTOW
30123,"CASSVILLE, GA",CASSVILLE,GA,BARTOW
31804,"CATAULA, GA",CATAULA,GA,HARRIS
30124,"CAVE SPRING, GA",CAVE SPRING,GA,FLOYD
31627,"CECIL, GA",CECIL,GA,COOK
39832,"CEDAR SPRINGS, GA",CEDAR SPRINGS,GA,EARLY
30125,"CEDARTOWN, GA",CEDARTOWN,GA,POLK
31028,"CENTERVILLE, GA",CENTERVILLE,GA,HOUSTON
30705,"CHATSWORTH, GA",CHATSWORTH,GA,MURRAY
31011,"CHAUNCEY, GA",CHAUNCEY,GA,DODGE
30522,"CHERRY LOG, GA",CHERRY LOG,GA,GILMER
31012,"CHESTER, GA",CHESTER,GA,DODGE
30502,"CHESTNUT MOUNTAIN, GA",CHESTNUT MOUNTAIN,GA,HALL
30707,"CHICKAMAUGA, GA",CHICKAMAUGA,GA,WALKER
31733,"CHULA, GA",CHULA,GA,TIFT
30708,"CISCO, GA",CISCO,GA,MURRAY
30111,"CLARKDALE, GA",CLARKDALE,GA,COBB
30523,"CLARKESVILLE, GA",CLARKESVILLE,GA,HABERSHAM
30021,"CLARKSTON, GA",CLARKSTON,GA,DEKALB
30417,"CLAXTON, GA",CLAXTON,GA,EVANS
30525,"CLAYTON, GA",CLAYTON,GA,RABUN
30527,"CLERMONT, GA",CLERMONT,GA,HALL
30528,"CLEVELAND, GA",CLEVELAND,GA,WHITE
39834,"CLIMAX, GA",CLIMAX,GA,DECATUR
31013,"CLINCHFIELD, GA",CLINCHFIELD,GA,HOUSTON
31303,"CLYO, GA",CLYO,GA,EFFINGHAM
31735,"COBB, GA",COBB,GA,SUMTER
30420,"COBBTOWN, GA",COBBTOWN,GA,TATTNALL
31014,"COCHRAN, GA",COCHRAN,GA,BLECKLEY
30710,"COHUTTA, GA",COHUTTA,GA,WHITFIELD
30628,"COLBERT, GA",COLBERT,GA,MADISON
39836,"COLEMAN, GA",COLEMAN,GA,RANDOLPH
30421,"COLLINS, GA",COLLINS,GA,TATTNALL
39837,"COLQUITT, GA",COLQUITT,GA,MILLER
31901,"COLUMBUS, GA",COLUMBUS,GA,MUSCOGEE
31902,"COLUMBUS, GA",COLUMBUS,GA,MUSCOGEE
31903,"COLUMBUS, GA",COLUMBUS,GA,MUSCOGEE
31904,"COLUMBUS, GA",COLUMBUS,GA,MUSCOGEE
31906,"COLUMBUS, GA",COLUMBUS,GA,MUSCOGEE
31907,"COLUMBUS, GA",COLUMBUS,GA,MUSCOGEE
31908,"COLUMBUS, GA",COLUMBUS,GA,MUSCOGEE
31909,"COLUMBUS, GA",COLUMBUS,GA,MUSCOGEE
31914,"COLUMBUS, GA",COLUMBUS,GA,MUSCOGEE
31917,"COLUMBUS, GA",COLUMBUS,GA,MUSCOGEE
31993,"COLUMBUS, GA",COLUMBUS,GA,MUSCOGEE
31999,"COLUMBUS, GA",COLUMBUS,GA,MUSCOGEE
30629,"COMER, GA",COMER,GA,MADISON
30530,"COMMERCE, GA",COMMERCE,GA,BANKS
30529,"COMMERCE, GA",COMMERCE,GA,JACKSON
30206,"CONCORD, GA",CONCORD,GA,PIKE
30288,"CONLEY, GA",CONLEY,GA,CLAYTON
30012,"CONYERS, GA",CONYERS,GA,ROCKDALE
30013,"CONYERS, GA",CONYERS,GA,ROCKDALE
30094,"CONYERS, GA",CONYERS,GA,ROCKDALE
31738,"COOLIDGE, GA",COOLIDGE,GA,THOMAS
30129,"COOSA, GA",COOSA,GA,FLOYD
31010,"CORDELE, GA",CORDELE,GA,CRISP
31015,"CORDELE, GA",CORDELE,GA,CRISP
30531,"CORNELIA, GA",CORNELIA,GA,HABERSHAM
30014,"COVINGTON, GA",COVINGTON,GA,NEWTON
30015,"COVINGTON, GA",COVINGTON,GA,NEWTON
30016,"COVINGTON, GA",COVINGTON,GA,NEWTON
30711,"CRANDALL, GA",CRANDALL,GA,MURRAY
30630,"CRAWFORD, GA",CRAWFORD,GA,OGLETHORPE
30631,"CRAWFORDVILLE, GA",CRAWFORDVILLE,GA,TALIAFERRO
31304,"CRESCENT, GA",CRESCENT,GA,MCINTOSH
31016,"CULLODEN, GA",CULLODEN,GA,MONROE
30028,"CUMMING, GA",CUMMING,GA,FORSYTH
30040,"CUMMING, GA",CUMMING,GA,FORSYTH
30041,"CUMMING, GA",CUMMING,GA,FORSYTH
31805,"CUSSETA, GA",CUSSETA,GA,CHATTAHOOCHEE
39840,"CUTHBERT, GA",CUTHBERT,GA,RANDOLPH
30019,"DACULA, GA",DACULA,GA,GWINNETT
30533,"DAHLONEGA, GA",DAHLONEGA,GA,LUMPKIN
30597,"DAHLONEGA, GA",DAHLONEGA,GA,LUMPKIN
30423,"DAISY, GA",DAISY,GA,EVANS
30132,"DALLAS, GA",DALLAS,GA,PAULDING
30157,"DALLAS, GA",DALLAS,GA,PAULDING
30719,"DALTON, GA",DALTON,GA,WHITFIELD
30720,"DALTON, GA",DALTON,GA,WHITFIELD
30721,"DALTON, GA",DALTON,GA,WHITFIELD
30722,"DALTON, GA",DALTON,GA,WHITFIELD
39841,"DAMASCUS, GA",DAMASCUS,GA,EARLY
30633,"DANIELSVILLE, GA",DANIELSVILLE,GA,MADISON
31017,"DANVILLE, GA",DANVILLE,GA,TWIGGS
31305,"DARIEN, GA",DARIEN,GA,MCINTOSH
31018,"DAVISBORO, GA",DAVISBORO,GA,WASHINGTON
39842,"DAWSON, GA",DAWSON,GA,TERRELL
30534,"DAWSONVILLE, GA",DAWSONVILLE,GA,DAWSON
31743,"DE SOTO, GA",DE SOTO,GA,SUMTER
30808,"DEARING, GA",DEARING,GA,MCDUFFIE
30030,"DECATUR, GA",DECATUR,GA,DEKALB
30031,"DECATUR, GA",DECATUR,GA,DEKALB
30032,"DECATUR, GA",DECATUR,GA,DEKALB
30033,"DECATUR, GA",DECATUR,GA,DEKALB
30034,"DECATUR, GA",DECATUR,GA,DEKALB
30035,"DECATUR, GA",DECATUR,GA,DEKALB
30036,"DECATUR, GA",DECATUR,GA,DEKALB
30037,"DECATUR, GA",DECATUR,GA,DEKALB
30535,"DEMOREST, GA",DEMOREST,GA,HABERSHAM
31532,"DENTON, GA",DENTON,GA,JEFF DAVIS
30634,"DEWY ROSE, GA",DEWY ROSE,GA,ELBERT
31019,"DEXTER, GA",DEXTER,GA,LAURENS
30537,"DILLARD, GA",DILLARD,GA,RABUN
31629,"DIXIE, GA",DIXIE,GA,BROOKS
31744,"DOERUN, GA",DOERUN,GA,COLQUITT
39845,"DONALSONVILLE, GA",DONALSONVILLE,GA,SEMINOLE
31533,"DOUGLAS, GA",DOUGLAS,GA,COFFEE
31534,"DOUGLAS, GA",DOUGLAS,GA,COFFEE
31535,"DOUGLAS, GA",DOUGLAS,GA,COFFEE
30133,"DOUGLASVILLE, GA",DOUGLASVILLE,GA,DOUGLAS
30134,"DOUGLASVILLE, GA",DOUGLASVILLE,GA,DOUGLAS
30135,"DOUGLASVILLE, GA",DOUGLASVILLE,GA,DOUGLAS
30154,"DOUGLASVILLE, GA",DOUGLASVILLE,GA,DOUGLAS
30424,"DOVER, GA",DOVER,GA,SCREVEN
31020,"DRY BRANCH, GA",DRY BRANCH,GA,TWIGGS
31630,"DU PONT, GA",DU PONT,GA,CLINCH
31021,"DUBLIN, GA",DUBLIN,GA,LAURENS
31040,"DUBLIN, GA",DUBLIN,GA,LAURENS
31022,"DUDLEY, GA",DUDLEY,GA,LAURENS
30097,"DULUTH, GA",DULUTH,GA,FULTON
30098,"DULUTH, GA",DULUTH,GA,FULTON
30095,"DULUTH, GA",DULUTH,GA,GWINNETT
30096,"DULUTH, GA",DULUTH,GA,GWINNETT
30099,"DULUTH, GA",DULUTH,GA,GWINNETT
31027,"EAST DUBLIN, GA",EAST DUBLIN,GA,LAURENS
30539,"EAST ELLIJAY, GA",EAST ELLIJAY,GA,GILMER
30538,"EASTANOLLEE, GA",EASTANOLLEE,GA,STEPHENS
31023,"EASTMAN, GA",EASTMAN,GA,DODGE
31024,"EATONTON, GA",EATONTON,GA,PUTNAM
31307,"EDEN, GA",EDEN,GA,EFFINGHAM
39846,"EDISON, GA",EDISON,GA,CALHOUN
30635,"ELBERTON, GA",ELBERTON,GA,ELBERT
31025,"ELKO, GA",ELKO,GA,HOUSTON
31308,"ELLABELL, GA",ELLABELL,GA,BRYAN
31806,"ELLAVILLE, GA",ELLAVILLE,GA,SCHLEY
31747,"ELLENTON, GA",ELLENTON,GA,COLQUITT
30294,"ELLENWOOD, GA",ELLENWOOD,GA,DEKALB
31807,"ELLERSLIE, GA",ELLERSLIE,GA,HARRIS
30536,"ELLIJAY, GA",ELLIJAY,GA,GILMER
30540,"ELLIJAY, GA",ELLIJAY,GA,GILMER
30137,"EMERSON, GA",EMERSON,GA,BARTOW
31749,"ENIGMA, GA",ENIGMA,GA,BERRIEN
30541,"EPWORTH, GA",EPWORTH,GA,FANNIN
30138,"ESOM HILL, GA",ESOM HILL,GA,POLK
30724,"ETON, GA",ETON,GA,MURRAY
30809,"EVANS, GA",EVANS,GA,COLUMBIA
30212,"EXPERIMENT, GA",EXPERIMENT,GA,SPALDING
30213,"FAIRBURN, GA",FAIRBURN,GA,FULTON
30139,"FAIRMOUNT, GA",FAIRMOUNT,GA,GORDON
31631,"FARGO, GA",FARGO,GA,CLINCH
30638,"FARMINGTON, GA",FARMINGTON,GA,OCONEE
30214,"FAYETTEVILLE, GA",FAYETTEVILLE,GA,FAYETTE
30215,"FAYETTEVILLE, GA",FAYETTEVILLE,GA,FAYETTE
30140,"FELTON, GA",FELTON,GA,HARALSON
31750,"FITZGERALD, GA",FITZGERALD,GA,BEN HILL
31309,"FLEMING, GA",FLEMING,GA,LIBERTY
30725,"FLINTSTONE, GA",FLINTSTONE,GA,WALKER
30216,"FLOVILLA, GA",FLOVILLA,GA,BUTTS
30542,"FLOWERY BRANCH, GA",FLOWERY BRANCH,GA,HALL
31537,"FOLKSTON, GA",FOLKSTON,GA,CHARLTON
30297,"FOREST PARK, GA",FOREST PARK,GA,CLAYTON
30298,"FOREST PARK, GA",FOREST PARK,GA,CLAYTON
31029,"FORSYTH, GA",FORSYTH,GA,MONROE
31905,"FORT BENNING, GA",FORT BENNING,GA,MUSCOGEE
31995,"FORT BENNING, GA",FORT BENNING,GA,MUSCOGEE
39851,"FORT GAINES, GA",FORT GAINES,GA,CLAY
30742,"FORT OGLETHORPE, GA",FORT OGLETHORPE,GA,CATOOSA
31314,"FORT STEWART, GA",FORT STEWART,GA,LIBERTY
31315,"FORT STEWART, GA",FORT STEWART,GA,LIBERTY
31030,"FORT VALLEY, GA",FORT VALLEY,GA,PEACH
31808,"FORTSON, GA",FORTSON,GA,MUSCOGEE
30217,"FRANKLIN, GA",FRANKLIN,GA,HEARD
30639,"FRANKLIN SPRINGS, GA",FRANKLIN SPRINGS,GA,FRANKLIN
31753,"FUNSTON, GA",FUNSTON,GA,COLQUITT
30501,"GAINESVILLE, GA",GAINESVILLE,GA,HALL
30503,"GAINESVILLE, GA",GAINESVILLE,GA,HALL
30504,"GAINESVILLE, GA",GAINESVILLE,GA,HALL
30506,"GAINESVILLE, GA",GAINESVILLE,GA,HALL
30507,"GAINESVILLE, GA",GAINESVILLE,GA,HALL
30425,"GARFIELD, GA",GARFIELD,GA,EMANUEL
30218,"GAY, GA",GAY,GA,MERIWETHER
31810,"GENEVA, GA",GENEVA,GA,TALBOT
39854,"GEORGETOWN, GA",GEORGETOWN,GA,QUITMAN
30810,"GIBSON, GA",GIBSON,GA,GLASCOCK
30543,"GILLSVILLE, GA",GILLSVILLE,GA,HALL
30426,"GIRARD, GA",GIRARD,GA,BURKE
30427,"GLENNVILLE, GA",GLENNVILLE,GA,TATTNALL
30428,"GLENWOOD, GA",GLENWOOD,GA,WHEELER
30641,"GOOD HOPE, GA",GOOD HOPE,GA,WALTON
31031,"GORDON, GA",GORDON,GA,WILKINSON
30812,"GRACEWOOD, GA",GRACEWOOD,GA,RICHMOND
30220,"GRANTVILLE, GA",GRANTVILLE,GA,COWETA
31032,"GRAY, GA",GRAY,GA,JONES
30017,"GRAYSON, GA",GRAYSON,GA,GWINNETT
30726,"GRAYSVILLE, GA",GRAYSVILLE,GA,CATOOSA
30642,"GREENSBORO, GA",GREENSBORO,GA,GREENE
30222,"GREENVILLE, GA",GREENVILLE,GA,MERIWETHER
30223,"GRIFFIN, GA",GRIFFIN,GA,SPALDING
30224,"GRIFFIN, GA",GRIFFIN,GA,SPALDING
30813,"GROVETOWN, GA",GROVETOWN,GA,COLUMBIA
31312,"GUYTON, GA",GUYTON,GA,EFFINGHAM
31033,"HADDOCK, GA",HADDOCK,GA,JONES
30429,"HAGAN, GA",HAGAN,GA,EVANS
31632,"HAHIRA, GA",HAHIRA,GA,LOWNDES
31811,"HAMILTON, GA",HAMILTON,GA,HARRIS
30228,"HAMPTON, GA",HAMPTON,GA,HENRY
30229,"HARALSON, GA",HARALSON,GA,COWETA
31034,"HARDWICK, GA",HARDWICK,GA,BALDWIN
30814,"HARLEM, GA",HARLEM,GA,COLUMBIA
31035,"HARRISON, GA",HARRISON,GA,WASHINGTON
31756,"HARTSFIELD, GA",HARTSFIELD,GA,COLQUITT
30643,"HARTWELL, GA",HARTWELL,GA,HART
31036,"HAWKINSVILLE, GA",HAWKINSVILLE,GA,PULASKI
31539,"HAZLEHURST, GA",HAZLEHURST,GA,JEFF DAVIS
30545,"HELEN, GA",HELEN,GA,WHITE
31037,"HELENA, GA",HELENA,GA,TELFAIR
30815,"HEPHZIBAH, GA",HEPHZIBAH,GA,RICHMOND
30546,"HIAWASSEE, GA",HIAWASSEE,GA,TOWNS
30645,"HIGH SHOALS, GA",HIGH SHOALS,GA,OCONEE
31038,"HILLSBORO, GA",HILLSBORO,GA,JASPER
31310,"HINESVILLE, GA",HINESVILLE,GA,LIBERTY
31313,"HINESVILLE, GA",HINESVILLE,GA,LIBERTY
30141,"HIRAM, GA",HIRAM,GA,PAULDING
31542,"HOBOKEN, GA",HOBOKEN,GA,BRANTLEY
30230,"HOGANSVILLE, GA",HOGANSVILLE,GA,TROUP
30142,"HOLLY SPRINGS, GA",HOLLY SPRINGS,GA,CHEROKEE
